age,deterministic_component
25,9.937398838001958
26,10.00382074869649
27,10.08033774632172
28,10.11353052499836
29,10.19052371945627
30,10.21311786781716
31,10.26123661611238
32,10.30621159414738
33,10.32215679131922
34,10.35113968317205
35,10.38368844498688
36,10.42017557664507
37,10.45788653156255
38,10.47084737958996
39,10.48265932033761
40,10.50734820604305
41,10.53592382255285
42,10.5484198895871
43,10.57748224774486
44,10.56670307194399
45,10.59666235758324
46,10.60704145018395
47,10.626538324297
48,10.62081832914157
49,10.58940511099582
50,10.60246039704718
51,10.58907384196336
52,10.59607788732309
53,10.55507743071116
54,10.5615396083096
55,10.5322119440538
56,10.5207174280309
57,10.5069459157597
58,10.5074086196358
59,10.5030885191375
