parm,estimate,stderr,dof,t,p,min95,max95,age,scale_factor
23b.age_center,0,0,666,,,0,0,,2.6019986
24.age_center,.0718475893924066,.327149255701246,666,.2196171568185322,.8262366216398752,-.5705205493933186,.7142157281781319,24,2.6738462
25.age_center,.1329581612034798,.327149255701246,666,.4064143777997703,.6845687156132669,-.5094099775822455,.7753262999892051,25,2.7349567
26.age_center,.2687636802070904,.327149255701246,666,.8215322991672231,.4116371204024705,-.3736044585786349,.9111318189928157,26,2.8707623
27.age_center,.3735410539727335,.327149255701246,666,1.141806216774195,.2539449276944658,-.2688270848129918,1.015909192758459,27,2.9755397
28.age_center,.5992142275759906,.327149255701246,666,1.831623386370151,.0674540386924984,-.0431539112097347,1.241582366361716,28,3.2012129
29.age_center,.7086930023996356,.327149255701246,666,2.166268117836762,.0306447357190186,.0663248636139103,1.351061141185361,29,3.3106916
30.age_center,.8153936737462092,.327149255701246,666,2.492420996032557,.0129294879003309,.1730255349604839,1.457761812531934,30,3.4173923
31.age_center,.7680458395104618,.327149255701246,666,2.347692455739054,.0191818358367027,.1256777007247365,1.410413978296187,31,3.3700445
32.age_center,.7923189338884962,.327149255701246,666,2.421888236273553,.0157060831318238,.1499507951027709,1.434687072674222,32,3.3943176
33.age_center,.776273376063301,.327149255701246,666,2.372841638900738,.0179348022679426,.1339052372775758,1.418641514849026,33,3.3782721
34.age_center,.907572959598729,.327149255701246,666,2.774186227791783,.0056890626717541,.2652048208130037,1.549941098384454,34,3.5095716
35.age_center,1.057917042782423,.327149255701246,666,3.233744305836103,.0012821284585147,.4155489039966981,1.700285181568149,35,3.6599157
36.age_center,1.387380562330539,.327149255701246,666,4.240818336439991,.0000254217334578,.745012423544814,2.029748701116265,36,3.9893792
37.age_center,1.603719949722285,.327149255701246,666,4.902104839837413,1.19231117879e-06,.9613518109365599,2.246088088508011,37,4.2057185
38.age_center,1.753397740815806,.327149255701246,666,5.359626257004283,1.15067308892e-07,1.111029602030081,2.395765879601532,38,4.3553963
39.age_center,1.786592282746968,.327149255701246,666,5.461092304542765,6.68733889217e-08,1.144224143961242,2.428960421532693,39,4.3885908
40.age_center,1.738701343536354,.327149255701246,666,5.314703650507898,1.45912562601e-07,1.096333204750628,2.381069482322079,40,4.3407001
41.age_center,1.423538019782616,.327149255701246,666,4.351341153845071,.0000156550551628,.7811698809968904,2.065906158568341,41,4.0255365
42.age_center,1.312156426279168,.327149255701246,666,4.010880059826375,.0000673444306327,.6697882874934423,1.954524565064893,42,3.914155
43.age_center,1.178374541433221,.327149255701246,666,3.601947798742105,.0003393515151403,.5360064026474959,1.820742680218947,43,3.7803731
44.age_center,1.1741047031001,.327149255701246,666,3.588896146449733,.000356456535727,.5317365643143747,1.816472841885825,44,3.7761033
45.age_center,1.188921652342132,.327149255701246,666,3.634187245187745,.000300340661371,.5465535135564071,1.831289791127858,45,3.7909203
46.age_center,1.110186313327988,.327149255701246,666,3.393516243673849,.0007309046722247,.4678181745422624,1.752554452113713,46,3.7121849
47.age_center,1.074384112107116,.327149255701246,666,3.284079341107374,.0010767179534969,.4320159733213903,1.716752250892841,47,3.6763828
48.age_center,1.12961853177923,.327149255701246,666,3.452914876293658,.0005896711594059,.4872503929935047,1.771986670564955,48,3.7316172
49.age_center,.9483154321971681,.327149255701246,666,2.898724101219333,.0038701050346669,.3059472934114428,1.590683570982893,49,3.5503142
50.age_center,.8449535495356461,.327149255701246,666,2.582776927688508,.0100130498388146,.2025854107499208,1.487321688321371,50,3.4469521
51.age_center,.854120430193443,.327149255701246,666,2.610797412216732,.009236411079236,.2117522914077177,1.496488568979168,51,3.4561191
52.age_center,1.439549621782798,.327149255701246,666,4.400283958149672,.0000125872474738,.7971814829970724,2.081917760568523,52,4.0415483
53.age_center,1.547963656877211,.327149255701246,666,4.731674090344923,2.72059017941e-06,.9055955180914862,2.190331795662937,53,4.1499624
54.age_center,1.614667239942042,.327149255701246,666,4.935567517893309,1.01103318331e-06,.972299101156317,2.257035378727767,54,4.2166657
55.age_center,1.641389771511687,.327149255701246,666,5.017250514580448,6.73240327696e-07,.9990216327259617,2.283757910297412,55,4.2433887
56.age_center,1.551857182854099,.3271492557012459,666,4.743575465356587,2.57039093569e-06,.9094890440683736,2.194225321639824,56,4.1538558
57.age_center,1.088611916491852,.3271492557012459,666,3.327569595591491,.0009242647344309,.4462437777061269,1.730980055277577,57,3.6906106
58.age_center,.8044934147282599,.3271492557012459,666,2.459102078663834,.0141817245177539,.1621252759425348,1.446861553513985,58,3.406492
59.age_center,.6675031185150075,.3271492557012459,666,2.040362638405555,.0417081275289444,.0251349797292824,1.309871257300733,59,3.2695017
60.age_center,.5307526964890253,.3271492557012459,666,1.622356423679933,.1052003006474782,-.1116154422966998,1.173120835274751,60,3.1327515
