parm,estimate,stderr,dof,t,p,min95,max95,age,scale_factor
23b.age_center,0,0,666,,,0,0,,.48493677
24.age_center,-.0012268988709696,.0093035721030675,666,-.1318739573765541,.8951238161756335,-.0194947634366278,.0170409656946886,24,.48370987
25.age_center,-.0021111306391261,.0093035721030675,666,-.226916136698724,.8205585863722438,-.0203789952047843,.0161567339265321,25,.48282567
26.age_center,-.0037761377660853,.0093035721030675,666,-.405880421439449,.6849608309047983,-.0220440023317435,.0144917267995728,26,.48116064
27.age_center,-.0086898003753862,.0093035721030675,666,-.9340283795426386,.3506277629564911,-.0269576649410444,.009578064190272,27,.47624698
28.age_center,-.0124218950146117,.0093035721030675,666,-1.335174799206006,.1822753213070637,-.0306897595802699,.0058459695510465,28,.4725149
29.age_center,-.015736153251246,.0093035721030675,666,-1.691409823766259,.0912263775816895,-.0340040178169042,.0025317113144122,29,.46920064
30.age_center,-.0113555192947387,.0093035721030675,666,-1.220554768527535,.222686605543751,-.0296233838603969,.0069123452709194,30,.47358125
31.age_center,-.0148044934398245,.0093035721030675,666,-1.591269812908028,.1120233813562378,-.0330723580054827,.0034633711258337,31,.47013229
32.age_center,-.013165064548191,.0093035721030675,666,-1.41505482005674,.1575198136242569,-.0314329291138492,.0051028000174672,32,.47177172
33.age_center,-.0121156698779051,.0093035721030675,666,-1.302260007627659,.1932776885835164,-.0303835344435633,.0061521946877531,33,.47282112
34.age_center,-.0088050898752707,.0093035721030675,666,-.9464203402441107,.3442774797539591,-.0270729544409289,.0094627746903875,34,.47613171
35.age_center,-.003611125444111,.0093035721030675,666,-.3881439735303807,.6980335247454188,-.0218789900097692,.0146567391215472,35,.48132566
36.age_center,.0055072715407925,.0093035721030675,666,.5919523683786745,.5540833740066999,-.0127605930248656,.0237751361064507,36,.49044406
37.age_center,.0110665920533632,.0093035721030675,666,1.189499251552468,.2346671539679928,-.007201272512295,.0293344566190213,37,.49600339
38.age_center,.0133471520323508,.0093035721030675,666,1.434626601964006,.1518629182923376,-.0049207125333074,.031615016598009,38,.49828392
39.age_center,.015347461951407,.0093035721030675,666,1.649631107426667,.0994899366609895,-.0029204026142512,.0336153265170652,39,.50028425
40.age_center,.0149752168278949,.0093035721030675,666,1.609620118164882,.1079546692397293,-.0032926477377632,.0332430813935531,40,.49991199
41.age_center,.0135985063879114,.0093035721030675,666,1.461643574883226,.1443105605747192,-.0046693581777468,.0318663709535695,41,.49853528
42.age_center,.014658170311075,.0093035721030675,666,1.575542184086699,.1156062200655792,-.0036096942545832,.0329260348767332,42,.49959496
43.age_center,.0188210763429344,.0093035721030675,666,2.022994623401584,.0434727267918725,.0005532117772763,.0370889409085926,43,.50375783
44.age_center,.0244597902423458,.0093035721030675,666,2.629075152143034,.0087592957094657,.0061919256766876,.0427276548080039,44,.50939655
45.age_center,.0300360384740329,.0093035721030675,666,3.228441521308771,.0013057595737285,.0117681739083748,.0483039030396911,45,.51497281
46.age_center,.0323189151914501,.0093035721030675,666,3.473817887733073,.0005463489340794,.014051050625792,.0505867797571083,46,.51725572
47.age_center,.0354515549383669,.0093035721030675,666,3.81053154053359,.0001515083083237,.0171836903727088,.0537194195040251,47,.52038836
48.age_center,.0385015951959717,.0093035721030675,666,4.138366937928865,.0000394654847636,.0202337306303135,.0567694597616298,48,.52343839
49.age_center,.0436873953593409,.0093035721030675,666,4.695765763446582,3.22667120535e-06,.0254195307936827,.061955259924999,49,.52862418
50.age_center,.0510196936757948,.0093035721030675,666,5.483882224008696,5.91280331003e-08,.0327518291101366,.069287558241453,50,.5359565
51.age_center,.0577122663196766,.0093035721030675,666,6.203237388857178,9.71340566200e-10,.0394444017540185,.0759801308853348,51,.54264903
52.age_center,.0688895128275221,.0093035721030675,666,7.4046304004898,3.98798518794e-13,.0506216482618639,.0871573773931802,52,.55382627
53.age_center,.0780758889097921,.0093035721030675,666,8.392033516250168,2.86201168068e-16,.0598080243441339,.0963437534754503,53,.56301266
54.age_center,.0784087526170836,.0093035721030675,666,8.427811570486107,2.17230009134e-16,.0601408880514255,.0966766171827418,54,.56334555
55.age_center,.0808440007661525,.0093035721030675,666,8.689565671178892,2.81046840426e-17,.0625761362004944,.0991118653318107,55,.56578076
56.age_center,.08246113752064,.0093035721030674,666,8.863384580364782,7.03786546840e-18,.0641932729549818,.1007290020862981,56,.56739789
57.age_center,.081800104756105,.0093035721030674,666,8.792333079155146,1.24266333616e-17,.0635322401904468,.1000679693217631,57,.56673688
58.age_center,.0796376325582207,.0093035721030674,666,8.559898464371939,7.78717023411e-17,.0613697679925625,.0979054971238788,58,.56457442
59.age_center,.0801317221239997,.0093035721030674,666,8.613005976229257,5.13721090073e-17,.0618638575583416,.0983995866896579,59,.56506848
60.age_center,.0772103588832056,.0093035721030674,666,8.29900150478211,5.83696544651e-16,.0589424943175475,.0954782234488638,60,.56214714
